nodes,connection
"(801, 1312)",1
"(1069, 1170)",1
"(1292, 1334)",1
"(314, 902)",1
"(730, 923)",1
"(1377, 1495)",1
"(1134, 1563)",1
"(403, 825)",1
"(938, 1315)",1
"(396, 941)",1
"(571, 1340)",1
"(1404, 1409)",1
"(795, 911)",1
"(1021, 1250)",1
"(649, 943)",1
"(1114, 1167)",1
"(353, 382)",1
"(561, 782)",1
"(1283, 1341)",1
"(1330, 1577)",1
"(660, 1150)",1
"(1002, 1364)",1
"(770, 901)",1
"(1203, 1368)",1
"(430, 1086)",1
"(1050, 1378)",1
"(792, 1564)",1
"(694, 964)",1
"(968, 1195)",1
"(546, 1554)",1
"(469, 1587)",1
"(625, 1134)",1
"(758, 898)",1
"(1267, 1389)",1
"(586, 868)",1
"(495, 920)",1
"(818, 1534)",1
"(907, 1409)",1
"(1104, 1368)",1
"(1140, 1143)",1
"(317, 1533)",1
"(1298, 1391)",1
"(827, 1296)",1
"(801, 1394)",1
"(881, 1446)",1
"(385, 1037)",1
"(1290, 1400)",1
"(506, 1023)",1
"(539, 1379)",1
"(790, 1065)",1
"(302, 603)",1
"(557, 853)",1
"(320, 550)",1
"(850, 1495)",1
"(310, 586)",1
"(481, 1540)",1
"(911, 989)",1
"(940, 1213)",1
"(1046, 1169)",1
"(347, 1244)",1
"(1115, 1394)",1
"(301, 1551)",1
"(348, 866)",1
"(931, 1064)",1
"(874, 1354)",1
"(608, 786)",1
"(409, 533)",1
"(1086, 1192)",1
"(835, 1241)",1
"(430, 570)",1
"(331, 901)",1
"(408, 927)",1
"(878, 1323)",1
"(686, 776)",1
"(1072, 1242)",1
"(714, 1097)",1
"(1264, 1451)",1
"(395, 1572)",1
"(1159, 1395)",1
"(809, 886)",1
"(1396, 1546)",1
"(784, 1308)",1
"(950, 1578)",1
"(1448, 1460)",1
"(805, 1549)",1
"(775, 1388)",1
"(573, 1509)",1
"(737, 1049)",1
"(1002, 1595)",1
"(1201, 1245)",1
"(377, 1124)",1
"(486, 1536)",1
"(422, 1284)",1
"(1019, 1303)",1
"(552, 1479)",1
"(723, 780)",1
"(1036, 1298)",1
"(539, 683)",1
"(403, 705)",1
"(316, 1102)",1
"(1323, 1460)",1
"(766, 1419)",1
"(465, 1377)",1
"(1050, 1136)",1
"(1142, 1561)",1
"(843, 1166)",1
"(641, 1524)",1
"(424, 606)",1
"(511, 1416)",1
"(1488, 1552)",1
"(968, 1155)",1
"(791, 905)",1
"(1434, 1575)",1
"(529, 724)",1
"(1307, 1594)",1
"(396, 1363)",1
"(1415, 1590)",1
"(966, 1127)",1
"(608, 840)",1
"(1076, 1546)",1
"(369, 1294)",1
"(829, 1219)",1
"(416, 858)",1
"(596, 967)",1
"(363, 995)",1
"(839, 1278)",1
"(433, 1365)",1
"(455, 487)",1
"(784, 972)",1
"(408, 569)",1
"(849, 1011)",1
"(319, 967)",1
"(451, 1063)",1
"(683, 1507)",1
"(408, 944)",1
"(921, 1409)",1
"(570, 1456)",1
"(841, 1579)",1
"(964, 1412)",1
"(420, 885)",1
"(972, 1276)",1
"(1177, 1422)",1
"(361, 1195)",1
"(544, 863)",1
"(804, 1167)",1
"(793, 1220)",1
"(1507, 1537)",1
"(1022, 1178)",1
"(696, 1422)",1
"(838, 1060)",1
"(459, 1564)",1
"(395, 1477)",1
"(812, 1065)",1
"(933, 1377)",1
"(349, 401)",1
"(610, 847)",1
"(1117, 1212)",1
"(627, 764)",1
"(692, 1553)",1
"(586, 1265)",1
"(924, 1204)",1
"(544, 656)",1
"(597, 1487)",1
"(603, 1409)",1
"(615, 1082)",1
"(1025, 1378)",1
"(674, 1151)",1
"(869, 957)",1
"(947, 1082)",1
"(422, 1365)",1
"(860, 938)",1
"(1021, 1063)",1
"(799, 1442)",1
"(735, 1260)",1
"(578, 988)",1
"(1202, 1226)",1
"(524, 1391)",1
"(406, 477)",1
"(497, 1358)",1
"(646, 1492)",1
"(455, 640)",1
"(1115, 1356)",1
"(1439, 1583)",1
"(923, 1506)",1
"(739, 1130)",1
"(1225, 1558)",1
"(500, 803)",1
"(603, 1209)",1
"(596, 1409)",1
"(772, 1328)",1
"(506, 1078)",1
"(755, 856)",1
"(1118, 1409)",1
"(972, 1526)",1
"(523, 555)",1
"(570, 787)",1
"(909, 1550)",1
"(635, 1384)",1
"(892, 1404)",1
"(419, 1144)",1
"(1120, 1152)",1
"(923, 1500)",1
"(700, 845)",1
"(316, 1375)",1
"(627, 1504)",1
"(368, 1210)",1
"(526, 1104)",1
"(423, 737)",1
"(315, 853)",1
"(492, 1271)",1
"(1396, 1487)",1
"(340, 1346)",1
"(1143, 1520)",1
"(474, 1359)",1
"(435, 1297)",1
"(785, 993)",1
"(955, 1268)",1
"(671, 1328)",1
"(822, 1277)",1
"(675, 1172)",1
"(323, 625)",1
"(1135, 1145)",1
"(906, 959)",1
"(832, 871)",1
"(1227, 1332)",1
"(510, 546)",1
"(799, 1417)",1
"(1112, 1530)",1
"(660, 1512)",1
"(1454, 1518)",1
"(1055, 1182)",1
"(382, 904)",1
"(1327, 1448)",1
"(721, 1349)",1
"(308, 1490)",1
"(394, 614)",1
"(653, 941)",1
"(705, 1315)",1
"(1103, 1136)",1
"(1010, 1107)",1
"(1165, 1169)",1
"(1114, 1491)",1
"(527, 645)",1
"(703, 818)",1
"(532, 1096)",1
"(498, 605)",1
"(1062, 1106)",1
"(1072, 1466)",1
"(302, 1510)",1
"(658, 1269)",1
"(301, 653)",1
"(428, 1552)",1
"(777, 906)",1
"(741, 1441)",1
"(498, 1494)",1
"(620, 1417)",1
"(467, 1094)",1
"(677, 690)",1
"(519, 946)",1
"(546, 805)",1
"(361, 1077)",1
"(946, 1083)",1
"(1336, 1452)",1
"(365, 978)",1
"(759, 888)",1
"(1433, 1534)",1
"(1121, 1546)",1
"(623, 1138)",1
"(423, 1475)",1
"(660, 1437)",1
"(568, 923)",1
"(410, 859)",1
"(729, 1236)",1
"(858, 936)",1
"(350, 601)",1
"(1028, 1406)",1
"(304, 1460)",1
"(608, 1457)",1
"(362, 1137)",1
"(1163, 1576)",1
"(634, 1040)",1
"(615, 1199)",1
"(450, 551)",1
"(627, 1170)",1
"(629, 666)",1
"(718, 1273)",1
"(419, 1175)",1
"(667, 1370)",1
"(668, 1138)",1
"(929, 1221)",1
"(1123, 1408)",1
"(1035, 1190)",1
"(624, 1563)",1
"(366, 531)",1
"(1003, 1269)",1
"(978, 1082)",1
"(1191, 1319)",1
"(365, 1535)",1
"(523, 1218)",1
"(582, 733)",1
"(574, 907)",1
"(677, 1025)",1
"(669, 1115)",1
"(449, 1100)",1
"(594, 718)",1
"(1394, 1527)",1
"(739, 1584)",1
"(362, 911)",1
"(364, 1508)",1
"(1071, 1094)",1
"(494, 774)",1
"(840, 1207)",1
"(767, 794)",1
"(1280, 1291)",1
"(742, 1483)",1
"(746, 1492)",1
"(750, 1122)",1
"(305, 748)",1
"(925, 1024)",1
"(785, 1593)",1
"(710, 1146)",1
"(1104, 1567)",1
"(618, 1251)",1
"(1292, 1439)",1
"(448, 494)",1
"(1124, 1275)",1
"(450, 699)",1
"(840, 1343)",1
"(794, 1115)",1
"(756, 1030)",1
"(338, 370)",1
"(825, 1303)",1
"(490, 1384)",1
"(340, 589)",1
"(1097, 1257)",1
"(830, 1495)",1
"(1426, 1464)",1
"(833, 953)",1
"(458, 838)",1
"(469, 798)",1
"(1391, 1567)",1
"(1187, 1597)",1
"(568, 630)",1
"(1142, 1452)",1
"(398, 663)",1
"(621, 1503)",1
"(340, 970)",1
"(351, 1478)",1
"(957, 1033)",1
"(598, 1534)",1
"(885, 1327)",1
"(325, 427)",1
"(556, 954)",1
"(502, 1355)",1
"(573, 879)",1
"(364, 1143)",1
"(375, 921)",1
"(979, 1153)",1
"(422, 728)",1
"(529, 1467)",1
"(833, 873)",1
"(1222, 1239)",1
"(848, 856)",1
"(931, 1482)",1
"(725, 934)",1
"(1225, 1288)",1
"(1341, 1477)",1
"(612, 1088)",1
"(1143, 1258)",1
"(952, 1259)",1
"(816, 1470)",1
"(497, 1154)",1
"(1202, 1411)",1
"(701, 951)",1
"(526, 1481)",1
"(394, 1163)",1
"(711, 1565)",1
"(568, 1537)",1
"(734, 962)",1
"(1459, 1482)",1
"(342, 1264)",1
"(341, 1079)",1
"(573, 604)",1
"(608, 847)",1
"(860, 1307)",1
"(607, 1193)",1
"(476, 672)",1
"(916, 1145)",1
"(955, 1103)",1
"(424, 1022)",1
"(463, 1496)",1
"(707, 1495)",1
"(483, 1483)",1
"(453, 787)",1
"(600, 918)",1
"(302, 1004)",1
"(971, 1590)",1
"(479, 1030)",1
"(1106, 1455)",1
"(646, 1446)",1
"(607, 671)",1
"(413, 1137)",1
"(821, 1039)",1
"(804, 1157)",1
"(557, 1359)",1
"(535, 1545)",1
"(470, 735)",1
"(354, 644)",1
"(367, 1068)",1
"(500, 875)",1
"(993, 1506)",1
"(548, 1241)",1
"(337, 933)",1
"(494, 985)",1
"(438, 1371)",1
"(1087, 1205)",1
"(624, 818)",1
"(415, 431)",1
"(305, 1095)",1
"(665, 956)",1
"(1389, 1537)",1
"(715, 1356)",1
"(300, 430)",1
"(800, 891)",1
"(342, 615)",1
"(454, 584)",1
"(1099, 1590)",1
"(699, 1364)",1
"(673, 1056)",1
"(415, 646)",1
"(1343, 1415)",1
"(1109, 1342)",1
"(1073, 1099)",1
"(935, 1221)",1
"(696, 1105)",1
"(838, 1311)",1
"(497, 1118)",1
"(1159, 1237)",1
"(594, 1086)",1
"(366, 1544)",1
"(682, 851)",1
"(626, 738)",1
"(688, 973)",1
"(485, 673)",1
"(1117, 1298)",1
"(672, 925)",1
"(533, 1500)",1
"(344, 456)",1
"(1087, 1493)",1
"(808, 1402)",1
"(875, 923)",1
"(966, 1408)",1
"(466, 1143)",1
"(1247, 1391)",1
"(330, 430)",1
"(1162, 1433)",1
"(1347, 1522)",1
"(389, 1538)",1
"(737, 1219)",1
"(386, 558)",1
"(1129, 1435)",1
"(1285, 1528)",1
"(1129, 1313)",1
"(566, 927)",1
"(871, 1052)",1
"(1072, 1299)",1
"(1356, 1435)",1
"(399, 1547)",1
"(407, 1381)",1
"(850, 1505)",1
"(1253, 1397)",1
"(778, 1498)",1
"(555, 932)",1
"(384, 1300)",1
"(572, 1441)",1
"(1064, 1209)",1
"(785, 1215)",1
"(844, 894)",1
"(705, 1443)",1
"(750, 1479)",1
"(1015, 1366)",1
"(402, 1171)",1
"(1329, 1599)",1
"(1176, 1278)",1
"(494, 628)",1
"(744, 761)",1
"(931, 1583)",1
"(766, 850)",1
"(517, 982)",1
"(534, 1126)",1
"(945, 1497)",1
"(473, 928)",1
"(312, 703)",1
"(905, 991)",1
"(569, 779)",1
"(402, 1338)",1
"(450, 852)",1
"(1246, 1520)",1
"(484, 562)",1
"(430, 723)",1
"(1010, 1382)",1
"(889, 1211)",1
"(759, 1037)",1
"(483, 1092)",1
"(883, 964)",1
"(441, 1010)",1
"(715, 814)",1
"(413, 516)",1
"(407, 1214)",1
"(1463, 1519)",1
"(934, 1076)",1
"(573, 797)",1
"(424, 1496)",1
"(351, 444)",1
"(718, 1138)",1
"(360, 557)",1
"(909, 1278)",1
"(1226, 1514)",1
"(1139, 1455)",1
"(766, 1160)",1
"(793, 1289)",1
"(483, 544)",1
"(496, 1572)",1
"(359, 1250)",1
"(785, 1450)",1
"(716, 763)",1
"(1130, 1175)",1
"(741, 1393)",1
"(489, 635)",1
"(668, 1248)",1
"(1019, 1306)",1
"(969, 1143)",1
"(479, 1586)",1
"(1031, 1106)",1
"(643, 892)",1
"(414, 1236)",1
"(916, 1491)",1
"(322, 615)",1
"(784, 964)",1
"(926, 1220)",1
"(1287, 1595)",1
"(699, 1545)",1
"(306, 1078)",1
"(707, 874)",1
"(307, 600)",1
"(558, 1400)",1
"(1003, 1113)",1
"(661, 836)",1
"(460, 1133)",1
"(1370, 1569)",1
"(468, 523)",1
"(436, 570)",1
"(732, 1239)",1
"(963, 1276)",1
"(1232, 1246)",1
"(393, 1033)",1
"(386, 902)",1
"(469, 1249)",1
"(1194, 1513)",1
"(872, 916)",1
"(395, 750)",1
"(1163, 1527)",1
"(515, 667)",1
"(1035, 1561)",1
"(589, 1560)",1
"(742, 958)",1
"(707, 1333)",1
"(981, 1183)",1
"(304, 1179)",1
"(486, 841)",1
"(986, 1227)",1
"(430, 788)",1
"(569, 1399)",1
"(749, 1259)",1
"(591, 877)",1
"(897, 1004)",1
"(611, 1167)",1
"(338, 1033)",1
"(599, 751)",1
"(895, 1298)",1
"(330, 988)",1
"(343, 1312)",1
"(370, 544)",1
"(856, 1543)",1
"(1393, 1404)",1
"(793, 1548)",1
"(969, 1024)",1
"(315, 958)",1
"(841, 1205)",1
"(409, 1416)",1
"(378, 815)",1
"(980, 1404)",1
"(1008, 1475)",1
"(440, 586)",1
"(780, 1382)",1
"(396, 1433)",1
"(464, 1258)",1
"(355, 1336)",1
"(1014, 1361)",1
"(614, 1388)",1
"(1039, 1104)",1
"(800, 815)",1
"(638, 1163)",1
"(627, 1516)",1
"(1052, 1511)",1
"(305, 842)",1
"(1034, 1391)",1
"(1035, 1163)",1
"(403, 738)",1
"(895, 1421)",1
"(633, 808)",1
"(394, 1369)",1
"(1199, 1387)",1
"(1533, 1541)",1
"(439, 952)",1
"(370, 827)",1
"(1032, 1332)",1
"(728, 914)",1
"(566, 656)",1
"(864, 1108)",1
"(374, 699)",1
"(1096, 1404)",1
"(479, 1541)",1
"(384, 635)",1
"(622, 1428)",1
"(674, 1014)",1
"(305, 704)",1
"(465, 1311)",1
"(655, 1010)",1
"(1094, 1569)",1
"(464, 1047)",1
"(965, 1313)",1
"(612, 1576)",1
"(758, 1202)",1
"(850, 1023)",1
"(678, 717)",1
"(621, 1469)",1
"(527, 1180)",1
"(370, 1548)",1
"(614, 828)",1
"(513, 947)",1
"(500, 1045)",1
"(356, 540)",1
"(425, 1369)",1
"(804, 1219)",1
"(673, 732)",1
"(985, 1209)",1
"(1421, 1547)",1
"(1122, 1370)",1
"(893, 1159)",1
"(452, 492)",1
"(673, 1524)",1
"(511, 1550)",1
"(581, 1445)",1
"(424, 1490)",1
"(987, 1491)",1
"(820, 1459)",1
"(904, 1157)",1
"(1259, 1411)",1
"(1075, 1414)",1
"(538, 1247)",1
"(653, 806)",1
"(470, 1168)",1
"(1084, 1335)",1
"(595, 834)",1
"(529, 565)",1
"(773, 941)",1
"(727, 1211)",1
"(494, 1189)",1
"(560, 1213)",1
"(317, 1271)",1
"(786, 795)",1
"(514, 830)",1
"(623, 1237)",1
"(1107, 1519)",1
"(1248, 1475)",1
"(545, 1446)",1
"(305, 1265)",1
"(543, 1081)",1
"(413, 491)",1
"(344, 1488)",1
"(519, 571)",1
"(364, 1576)",1
"(789, 810)",1
"(683, 1023)",1
"(626, 924)",1
"(616, 1498)",1
"(400, 1560)",1
"(1110, 1301)",1
"(979, 1191)",1
"(880, 894)",1
"(642, 1174)",1
"(586, 734)",1
"(706, 713)",1
"(373, 1205)",1
"(390, 937)",1
"(719, 1534)",1
"(410, 1277)",1
"(954, 1401)",1
"(614, 1466)",1
"(734, 1161)",1
"(524, 1559)",1
"(311, 871)",1
"(1224, 1372)",1
"(633, 642)",1
"(519, 1442)",1
"(495, 1332)",1
"(1295, 1497)",1
"(911, 1400)",1
"(934, 1162)",1
"(365, 553)",1
"(534, 781)",1
"(449, 1514)",1
"(665, 1539)",1
"(1025, 1221)",1
"(923, 1033)",1
"(427, 862)",1
"(673, 1536)",1
"(551, 1068)",1
"(964, 1308)",1
"(820, 1311)",1
"(323, 1513)",1
"(602, 1175)",1
"(895, 903)",1
"(392, 1571)",1
"(414, 1540)",1
"(326, 1214)",1
"(413, 1333)",1
"(1215, 1593)",1
"(526, 1384)",1
"(514, 1255)",1
"(333, 625)",1
"(913, 1192)",1
"(411, 836)",1
"(1321, 1484)",1
"(470, 1486)",1
"(637, 1350)",1
"(517, 1172)",1
"(1458, 1472)",1
"(464, 649)",1
"(1018, 1097)",1
"(825, 1310)",1
"(1341, 1358)",1
"(961, 1178)",1
"(403, 553)",1
"(336, 1116)",1
"(929, 1350)",1
"(754, 1501)",1
"(385, 1221)",1
"(1524, 1530)",1
"(853, 1476)",1
"(494, 821)",1
"(540, 559)",1
"(682, 1393)",1
"(1033, 1549)",1
"(605, 838)",1
"(652, 873)",1
"(366, 1288)",1
"(380, 1031)",1
"(1092, 1418)",1
"(322, 837)",1
"(322, 782)",1
"(1499, 1504)",1
"(381, 1235)",1
"(973, 1306)",1
"(464, 1529)",1
"(375, 998)",1
"(404, 1355)",1
"(334, 1400)",1
"(656, 1288)",1
"(782, 1594)",1
"(641, 656)",1
"(669, 1342)",1
"(609, 1562)",1
"(785, 952)",1
"(1441, 1580)",1
"(716, 955)",1
"(672, 1509)",1
"(786, 857)",1
"(569, 1319)",1
"(1312, 1500)",1
"(358, 577)",1
"(495, 689)",1
"(325, 1280)",1
"(474, 1071)",1
"(396, 660)",1
"(905, 980)",1
"(353, 1331)",1
"(342, 1077)",1
"(554, 1096)",1
"(1027, 1231)",1
"(584, 762)",1
"(719, 1344)",1
"(563, 1454)",1
"(635, 737)",1
"(779, 1060)",1
"(563, 1231)",1
"(1101, 1182)",1
"(348, 1545)",1
"(613, 1317)",1
"(396, 1011)",1
"(339, 1063)",1
"(972, 1237)",1
"(467, 1366)",1
"(647, 1295)",1
"(645, 1002)",1
"(420, 554)",1
"(620, 1521)",1
"(425, 1446)",1
"(1138, 1555)",1
"(1397, 1516)",1
"(1097, 1285)",1
"(415, 841)",1
"(1247, 1279)",1
"(841, 1101)",1
"(609, 1282)",1
"(319, 790)",1
"(326, 736)",1
"(876, 1065)",1
"(1352, 1389)",1
"(1357, 1536)",1
"(491, 1558)",1
"(348, 1056)",1
"(401, 1103)",1
"(394, 876)",1
"(1317, 1327)",1
"(512, 1131)",1
"(1011, 1275)",1
"(850, 1271)",1
"(477, 505)",1
"(394, 871)",1
"(657, 1030)",1
"(1144, 1561)",1
"(410, 1197)",1
"(1350, 1423)",1
"(797, 1232)",1
"(1049, 1356)",1
"(558, 1089)",1
"(896, 1579)",1
"(920, 1117)",1
"(305, 1006)",1
"(350, 1190)",1
"(974, 1004)",1
"(424, 871)",1
"(742, 1493)",1
"(1068, 1509)",1
"(632, 1426)",1
"(362, 571)",1
"(786, 1478)",1
"(552, 1560)",1
"(538, 1545)",1
"(318, 1183)",1
"(1051, 1279)",1
"(656, 1128)",1
"(348, 1450)",1
"(1234, 1392)",1
"(470, 903)",1
"(878, 1233)",1
"(921, 996)",1
"(1008, 1069)",1
"(892, 1211)",1
"(635, 1597)",1
"(988, 1327)",1
"(387, 614)",1
"(1242, 1573)",1
"(375, 1573)",1
"(1110, 1203)",1
"(537, 1329)",1
"(330, 1039)",1
"(910, 915)",1
"(921, 980)",1
"(304, 1066)",1
"(301, 1361)",1
"(749, 867)",1
"(399, 661)",1
"(469, 1411)",1
"(1098, 1557)",1
"(870, 1563)",1
"(1414, 1508)",1
"(720, 1562)",1
"(318, 849)",1
"(496, 1387)",1
"(352, 579)",1
"(937, 1041)",1
"(314, 1455)",1
"(479, 627)",1
"(745, 855)",1
"(1431, 1458)",1
"(814, 1150)",1
"(708, 824)",1
"(1143, 1333)",1
"(688, 1374)",1
"(1535, 1576)",1
"(565, 883)",1
"(958, 998)",1
"(849, 1565)",1
"(737, 1208)",1
"(813, 1194)",1
"(765, 1404)",1
"(949, 1158)",1
"(617, 1463)",1
"(1030, 1200)",1
"(1132, 1224)",1
"(1224, 1251)",1
"(842, 1042)",1
"(923, 939)",1
"(954, 1046)",1
"(1206, 1360)",1
"(1341, 1479)",1
"(934, 1110)",1
"(567, 1200)",1
"(551, 1064)",1
"(1126, 1421)",1
"(1063, 1361)",1
"(374, 1288)",1
"(328, 1238)",1
"(765, 1562)",1
"(313, 1373)",1
"(780, 971)",1
"(853, 1335)",1
"(949, 1262)",1
"(561, 785)",1
"(671, 1579)",1
"(436, 1567)",1
"(545, 1555)",1
"(347, 1052)",1
"(1059, 1301)",1
"(738, 1290)",1
"(1110, 1574)",1
"(891, 943)",1
"(449, 945)",1
"(658, 1586)",1
"(442, 1449)",1
"(986, 1433)",1
"(1056, 1306)",1
"(999, 1440)",1
"(1187, 1236)",1
"(611, 1238)",1
"(1174, 1226)",1
"(514, 979)",1
"(760, 1597)",1
"(1130, 1391)",1
"(784, 1225)",1
"(1155, 1520)",1
"(817, 965)",1
"(333, 895)",1
"(1082, 1165)",1
"(437, 471)",1
"(397, 1270)",1
"(426, 1364)",1
"(955, 1373)",1
"(480, 1063)",1
"(852, 1252)",1
"(655, 1186)",1
"(1277, 1289)",1
"(1096, 1332)",1
"(392, 1005)",1
"(309, 977)",1
"(379, 991)",1
"(366, 554)",1
"(770, 1479)",1
"(581, 1212)",1
"(1296, 1572)",1
"(601, 1411)",1
"(979, 1317)",1
"(571, 962)",1
"(1307, 1517)",1
"(574, 1017)",1
"(370, 1459)",1
"(474, 920)",1
"(1170, 1501)",1
"(933, 1169)",1
"(675, 782)",1
"(787, 1378)",1
"(854, 1454)",1
"(766, 1181)",1
"(468, 1526)",1
"(886, 1253)",1
"(1117, 1281)",1
"(1488, 1577)",1
"(735, 1356)",1
"(683, 1258)",1
"(991, 1418)",1
"(1034, 1244)",1
"(331, 1010)",1
"(1145, 1288)",1
"(544, 597)",1
"(356, 489)",1
"(418, 420)",1
"(385, 1499)",1
"(354, 959)",1
"(1074, 1311)",1
"(530, 1044)",1
"(981, 1115)",1
"(1047, 1156)",1
"(833, 1021)",1
"(1167, 1450)",1
"(740, 1587)",1
"(803, 1184)",1
"(759, 1360)",1
"(526, 1143)",1
"(812, 900)",1
"(952, 1187)",1
"(1101, 1227)",1
"(1032, 1190)",1
"(1021, 1336)",1
"(1055, 1260)",1
"(606, 1285)",1
"(1427, 1541)",1
"(1303, 1322)",1
"(931, 1120)",1
"(700, 865)",1
"(458, 587)",1
"(960, 1020)",1
"(303, 699)",1
"(654, 1258)",1
"(1016, 1218)",1
"(1537, 1551)",1
"(882, 1328)",1
"(502, 921)",1
"(1147, 1293)",1
"(1194, 1202)",1
"(303, 1073)",1
"(1089, 1533)",1
"(465, 1319)",1
"(797, 919)",1
"(614, 747)",1
"(315, 586)",1
"(440, 691)",1
"(568, 1142)",1
"(1074, 1115)",1
"(385, 1068)",1
"(768, 1097)",1
"(997, 1321)",1
"(816, 895)",1
"(1181, 1295)",1
"(1006, 1375)",1
"(808, 1548)",1
"(493, 1439)",1
"(998, 1010)",1
"(751, 1507)",1
"(629, 1469)",1
"(693, 829)",1
"(829, 1026)",1
"(535, 1327)",1
"(802, 1545)",1
"(835, 936)",1
"(547, 1216)",1
"(505, 616)",1
"(878, 1134)",1
"(842, 1494)",1
"(589, 1099)",1
"(386, 433)",1
"(691, 1512)",1
"(589, 862)",1
"(667, 1177)",1
"(728, 1518)",1
"(736, 1301)",1
"(692, 1339)",1
"(397, 831)",1
"(929, 985)",1
"(426, 434)",1
"(650, 968)",1
"(1235, 1451)",1
"(961, 1538)",1
"(994, 1411)",1
"(342, 991)",1
"(1439, 1515)",1
"(914, 1082)",1
"(1089, 1139)",1
"(737, 992)",1
"(323, 832)",1
"(893, 1184)",1
"(700, 743)",1
"(649, 728)",1
"(609, 1549)",1
"(988, 1224)",1
"(398, 924)",1
"(968, 1561)",1
"(694, 1008)",1
"(546, 1125)",1
"(554, 1047)",1
"(653, 725)",1
"(1264, 1589)",1
"(833, 1554)",1
"(1021, 1329)",1
"(879, 1483)",1
"(403, 1502)",1
"(502, 1508)",1
"(1160, 1426)",1
"(905, 1157)",1
"(307, 913)",1
"(1204, 1594)",1
"(341, 880)",1
"(541, 1134)",1
"(393, 1138)",1
"(602, 900)",1
"(912, 1105)",1
"(429, 1372)",1
"(959, 1243)",1
"(349, 1075)",1
"(686, 1504)",1
"(551, 1188)",1
"(775, 1491)",1
"(348, 1119)",1
"(327, 1528)",1
"(484, 1326)",1
"(1542, 1597)",1
"(691, 718)",1
"(460, 502)",1
"(1013, 1293)",1
"(912, 1411)",1
"(330, 502)",1
"(1359, 1488)",1
"(467, 748)",1
"(727, 1398)",1
"(1219, 1315)",1
"(501, 889)",1
"(858, 1274)",1
"(804, 1561)",1
"(712, 1000)",1
"(355, 915)",1
"(395, 887)",1
"(346, 835)",1
"(539, 1539)",1
"(577, 1147)",1
"(940, 1538)",1
"(823, 1385)",1
"(597, 1206)",1
"(474, 798)",1
"(425, 1508)",1
"(492, 1016)",1
"(459, 1339)",1
"(539, 1217)",1
"(631, 1428)",1
"(587, 1230)",1
"(695, 805)",1
"(652, 926)",1
"(417, 740)",1
"(355, 1451)",1
"(1334, 1445)",1
"(376, 883)",1
"(464, 791)",1
"(518, 763)",1
"(712, 1174)",1
"(326, 1538)",1
"(710, 747)",1
"(876, 1345)",1
"(535, 762)",1
"(726, 1084)",1
"(821, 1567)",1
"(921, 1073)",1
"(1387, 1399)",1
"(438, 1036)",1
"(781, 789)",1
"(794, 1277)",1
"(684, 772)",1
"(497, 536)",1
"(543, 1497)",1
"(692, 1072)",1
"(806, 815)",1
"(525, 1077)",1
"(1004, 1257)",1
"(939, 1221)",1
"(1089, 1419)",1
"(1074, 1517)",1
"(1252, 1336)",1
"(1166, 1371)",1
"(446, 788)",1
"(1255, 1574)",1
"(578, 868)",1
"(451, 1335)",1
"(735, 1537)",1
"(624, 635)",1
"(669, 1337)",1
"(866, 1058)",1
"(531, 838)",1
"(799, 831)",1
"(742, 972)",1
"(841, 1201)",1
"(955, 1226)",1
"(558, 1380)",1
"(811, 1293)",1
"(557, 760)",1
"(539, 912)",1
"(773, 774)",1
"(303, 1295)",1
"(978, 1118)",1
"(680, 946)",1
"(727, 1238)",1
"(1105, 1183)",1
"(1202, 1420)",1
"(852, 1472)",1
"(399, 1369)",1
"(683, 813)",1
"(851, 1021)",1
"(865, 1556)",1
"(629, 811)",1
"(643, 926)",1
"(580, 1342)",1
"(969, 1497)",1
"(871, 1580)",1
"(869, 1415)",1
"(1332, 1471)",1
"(1268, 1522)",1
"(464, 1169)",1
"(373, 1193)",1
"(1483, 1498)",1
"(598, 895)",1
"(645, 1519)",1
"(389, 1351)",1
"(937, 1475)",1
"(880, 1561)",1
"(899, 948)",1
"(910, 1055)",1
"(1101, 1501)",1
"(1080, 1193)",1
"(516, 1227)",1
"(1251, 1482)",1
"(379, 1191)",1
"(589, 665)",1
"(900, 1330)",1
"(419, 564)",1
"(317, 1490)",1
"(582, 732)",1
"(798, 1093)",1
"(1320, 1345)",1
"(1349, 1423)",1
"(1217, 1431)",1
"(640, 1412)",1
"(456, 1532)",1
"(525, 1045)",1
"(746, 1226)",1
"(825, 1585)",1
"(475, 1118)",1
"(486, 1454)",1
"(349, 1469)",1
"(310, 1351)",1
"(680, 1466)",1
"(821, 1169)",1
"(1499, 1585)",1
"(658, 817)",1
"(374, 1397)",1
"(643, 1016)",1
"(301, 1109)",1
"(479, 1375)",1
"(1301, 1413)",1
"(1233, 1424)",1
"(985, 1128)",1
"(898, 1463)",1
"(398, 1387)",1
"(671, 1533)",1
"(1382, 1400)",1
"(574, 1044)",1
"(437, 1276)",1
"(959, 1346)",1
"(782, 1518)",1
"(555, 777)",1
"(511, 1096)",1
"(747, 863)",1
"(667, 883)",1
"(1244, 1473)",1
"(382, 1036)",1
"(618, 1158)",1
"(778, 836)",1
"(495, 630)",1
"(730, 888)",1
"(345, 427)",1
"(458, 1144)",1
"(366, 701)",1
"(430, 1021)",1
"(863, 1261)",1
"(1194, 1446)",1
"(1239, 1475)",1
"(450, 896)",1
"(994, 1123)",1
"(1388, 1491)",1
"(485, 1143)",1
"(1231, 1428)",1
"(525, 914)",1
"(346, 983)",1
